web_scraper_order,web_scraper_start_url,data,data2,image,image2
"1775949969-1","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
"1775949969-2","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","CHAT Cosmetics ha creado una paleta multifuncional, hermosa y todo en uno. Presentada en un estuche de diseño espectacular, la paleta Queen Iconic te ayuda a lograr resultados de aspecto profesional con una sola paleta…","","",""
"1775949969-3","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","Esta fórmula fácil de moler, de alta concentración y larga duración, contiene una variedad de extractos de primera calidad como mica, polvo de perla, extracto de macadamia, aloe vera y más.","","",""
"1775949969-4","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","CHAT Cosmetics presenta “The Queen Iconic Palette”, una paleta de maquillaje multiusos todo en uno, cuidadosamente seleccionada y completa, con un diseño lujoso y distintivo. Te ayuda a lograr un look de maquillaje profesional pero natural. La paleta incluye corrector, contorno, dos tonos de labial, sombras de ojos mate y con brillo, y rubor; todos fáciles de difuminar, de alta pigmentación y larga duración. Además, está enriquecida con ingredientes de primera calidad como mica, polvo de perla, aceite esencial de macadamia, aloe vera y vitamina E para nutrir la piel.","","",""
"1775949969-5","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","Hay 2 paletas de colores para elegir.","","",""
"1775949969-6","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","Hay 2 tonos:","",""
"1775949969-7","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
"1775949969-8","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","– Fabricado el 23/10/2023","",""
"1775949969-9","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","– Caduca el 22/10/2026","",""
"1775949969-10","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","","",""
"1775949969-11","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","– Fabricado el 17/10/2023","",""
"1775949969-12","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","","– Caduca el 16/10/2026","",""
"1775949969-13","https://www.nongchatmakeup.com/product/chat-the-queen-iconic-%e0%b8%89%e0%b8%b1%e0%b8%95%e0%b8%a3-%e0%b9%80%e0%b8%94%e0%b8%ad%e0%b8%b0-%e0%b8%84%e0%b8%a7%e0%b8%b5%e0%b8%99-%e0%b9%84%e0%b8%ad%e0%b8%84%e0%b8%ad%e0%b8%99%e0%b8%b4%e0%b8%84/","El precio es de 1.690 baht.","","",""
